Wall time,Step,Value
1669995818.354456,0,0.0
1669995831.987447,500,-2.799999952316284
1669995843.804076,1000,-2.9000000953674316
1669995855.04687,1500,-2.0999999046325684
1669995866.403442,2000,-3.0
1669995877.675755,2500,-2.799999952316284
1669995888.828371,3000,-2.5
1669995900.045257,3500,-2.5
1669995911.391607,4000,-2.0
1669995922.724667,4500,-2.299999952316284
1669995933.816216,5000,-2.799999952316284
1669995945.173995,5500,-2.9000000953674316
1669995956.12687,6000,-2.799999952316284
1669995967.518582,6500,-2.700000047683716
1669995978.874109,7000,-3.0
1669995990.218611,7500,-2.5999999046325684
1669996001.301828,8000,-2.5999999046325684
1669996012.269156,8500,-2.4000000953674316
1669996023.34929,9000,-2.4000000953674316
1669996034.671019,9500,-2.700000047683716
1669996045.848142,10000,-2.9000000953674316
1669996056.991742,10500,-2.799999952316284
1669996068.059436,11000,-2.5
1669996079.143776,11500,-2.5
1669996090.486424,12000,-3.0999999046325684
1669996101.700303,12500,-2.5
1669996112.948576,13000,-2.700000047683716
1669996123.874698,13500,-3.200000047683716
1669996135.076631,14000,-3.0
1669996146.242529,14500,-2.9000000953674316
1669996157.551273,15000,-2.4000000953674316
1669996168.981693,15500,-3.0999999046325684
1669996180.444224,16000,-2.5
1669996191.612844,16500,-2.700000047683716
1669996202.754198,17000,-2.9000000953674316
1669996213.865562,17500,-2.5999999046325684
1669996225.258276,18000,-2.799999952316284
1669996236.722841,18500,-2.799999952316284
1669996248.020131,19000,-2.4000000953674316
1669996259.237058,19500,-2.9000000953674316
1669996270.389238,20000,-2.5
1669996281.636878,20500,-2.799999952316284
1669996292.866964,21000,-2.0999999046325684
1669996304.179876,21500,-2.700000047683716
1669996315.377756,22000,-1.7999999523162842
1669996326.459467,22500,-2.5999999046325684
1669996337.685236,23000,-2.9000000953674316
1669996348.884516,23500,-2.5999999046325684
1669996360.027831,24000,-2.9000000953674316
1669996371.272866,24500,-2.9000000953674316
1669996382.438207,25000,-2.5
1669996393.614978,25500,-2.5
1669996404.699139,26000,-2.799999952316284
1669996415.893692,26500,-2.9000000953674316
1669996427.009918,27000,-1.7999999523162842
1669996438.28853,27500,-2.4000000953674316
1669996449.565483,28000,-2.5
1669996460.688122,28500,-2.299999952316284
1669996471.733951,29000,-2.9000000953674316
1669996482.732152,29500,-2.700000047683716
1669996493.899964,30000,-2.5
1669996505.380683,30500,-2.5999999046325684
1669996516.448366,31000,-2.700000047683716
1669996527.615785,31500,-2.0999999046325684
1669996538.703253,32000,-3.0999999046325684
1669996549.951759,32500,-2.5999999046325684
1669996560.919931,33000,-2.5999999046325684
1669996572.407978,33500,-2.799999952316284
1669996583.544333,34000,-2.799999952316284
1669996594.831461,34500,-2.4000000953674316
1669996606.185458,35000,-2.200000047683716
1669996617.407111,35500,-2.799999952316284
1669996628.734144,36000,-2.5999999046325684
1669996640.134365,36500,-2.4000000953674316
1669996651.35913,37000,-2.700000047683716
1669996662.644177,37500,-2.5
1669996673.784125,38000,-3.0
1669996684.884784,38500,-2.9000000953674316
1669996696.336116,39000,-2.299999952316284
1669996707.64889,39500,-2.4000000953674316
1669996718.886817,40000,-2.5999999046325684
1669996730.189171,40500,-2.9000000953674316
1669996741.440772,41000,-3.4000000953674316
1669996752.697259,41500,-3.0999999046325684
1669996764.032936,42000,-2.700000047683716
1669996775.226075,42500,-3.0
1669996786.452531,43000,-3.0
1669996797.726209,43500,-2.9000000953674316
1669996808.922952,44000,-2.5
1669996820.387884,44500,-1.899999976158142
1669996831.813783,45000,-2.5999999046325684
1669996842.918361,45500,-2.5
1669996854.100646,46000,-2.4000000953674316
1669996865.429008,46500,-2.299999952316284
1669996876.631597,47000,-2.9000000953674316
1669996887.844984,47500,-2.799999952316284
1669996899.18866,48000,-2.4000000953674316
1669996910.456988,48500,-2.700000047683716
1669996921.730294,49000,-2.5
1669996932.860822,49500,-2.700000047683716
