Wall time,Step,Value
1670004847.730028,0,0.0
1670004865.776064,500,-2.700000047683716
1670004882.263062,1000,-2.9000000953674316
1670004897.493214,1500,-2.4000000953674316
1670004912.424832,2000,-2.299999952316284
1670004926.963766,2500,-2.700000047683716
1670004942.12468,3000,-2.4000000953674316
1670004956.578577,3500,-2.9000000953674316
1670004971.777675,4000,-3.0
1670004986.342784,4500,-2.700000047683716
1670005000.406378,5000,-1.7999999523162842
1670005014.744792,5500,-2.4000000953674316
1670005029.354497,6000,-2.299999952316284
1670005043.647388,6500,-2.299999952316284
1670005057.874081,7000,-2.299999952316284
1670005072.406829,7500,-2.5
1670005086.756865,8000,-3.0
1670005101.201175,8500,-2.299999952316284
1670005115.276137,9000,-2.799999952316284
1670005129.539683,9500,-2.200000047683716
1670005143.448947,10000,-2.299999952316284
1670005157.862109,10500,-2.5
1670005172.639582,11000,-2.5999999046325684
1670005187.029944,11500,-3.200000047683716
1670005201.658404,12000,-2.799999952316284
1670005216.745164,12500,-2.4000000953674316
1670005231.51892,13000,-2.700000047683716
1670005246.629876,13500,-3.0
1670005261.782328,14000,-2.5
1670005276.404994,14500,-3.0
1670005291.704864,15000,-2.799999952316284
1670005305.8616,15500,-3.0999999046325684
1670005320.193527,16000,-2.5999999046325684
1670005334.709152,16500,-2.700000047683716
1670005350.219853,17000,-2.700000047683716
1670005364.512922,17500,-2.9000000953674316
1670005379.160488,18000,-2.5
1670005393.694551,18500,-2.9000000953674316
1670005408.421522,19000,-2.5
1670005422.669835,19500,-2.5999999046325684
1670005437.276658,20000,-2.799999952316284
1670005451.722033,20500,-2.9000000953674316
1670005466.281581,21000,-2.4000000953674316
1670005480.666825,21500,-2.9000000953674316
1670005495.245399,22000,-2.799999952316284
1670005509.494997,22500,-2.799999952316284
1670005524.426851,23000,-2.5999999046325684
1670005539.094598,23500,-2.299999952316284
1670005553.740378,24000,-3.0
1670005568.674687,24500,-3.0999999046325684
1670005582.910788,25000,-2.799999952316284
1670005597.729542,25500,-3.0999999046325684
1670005612.451854,26000,-2.799999952316284
1670005627.396473,26500,-2.9000000953674316
1670005641.939998,27000,-2.4000000953674316
1670005657.842085,27500,-2.200000047683716
1670005672.805869,28000,-2.4000000953674316
1670005687.015668,28500,-2.799999952316284
1670005701.201561,29000,-2.799999952316284
1670005715.921667,29500,-2.5
1670005731.288043,30000,-2.700000047683716
1670005747.060048,30500,-2.9000000953674316
1670005762.114102,31000,-3.0
1670005776.905631,31500,-2.4000000953674316
1670005790.996954,32000,-2.5999999046325684
1670005806.157253,32500,-2.5
1670005820.530946,33000,-2.799999952316284
1670005834.901681,33500,-2.700000047683716
1670005849.329848,34000,-2.799999952316284
1670005863.7187,34500,-2.5999999046325684
1670005877.872312,35000,-2.799999952316284
1670005892.261679,35500,-2.9000000953674316
1670005906.769271,36000,-2.5999999046325684
1670005921.418936,36500,-2.0999999046325684
1670005935.667439,37000,-2.5999999046325684
1670005951.006064,37500,-2.4000000953674316
1670005965.434417,38000,-2.5999999046325684
1670005980.564975,38500,-2.9000000953674316
1670005995.586618,39000,-2.5999999046325684
1670006010.859937,39500,-2.5999999046325684
1670006025.066313,40000,-2.5
1670006039.162445,40500,-2.5999999046325684
1670006053.309255,41000,-2.799999952316284
1670006068.296345,41500,-3.0999999046325684
1670006083.678095,42000,-2.299999952316284
1670006098.179892,42500,-2.5999999046325684
1670006112.975759,43000,-2.700000047683716
1670006127.695913,43500,-2.299999952316284
1670006142.730259,44000,-2.5999999046325684
1670006157.329209,44500,-2.5999999046325684
1670006172.172271,45000,-1.899999976158142
1670006185.96602,45500,-3.0
1670006200.816463,46000,-2.799999952316284
1670006215.567241,46500,-2.4000000953674316
1670006229.73051,47000,-2.799999952316284
1670006244.890155,47500,-2.5
1670006259.707693,48000,-2.4000000953674316
1670006274.935752,48500,-2.9000000953674316
1670006289.300236,49000,-2.9000000953674316
1670006303.382287,49500,-2.799999952316284
