Wall time,Step,Value
1669997792.491576,0,-15.762805938720703
1669997840.397465,500,-16.167245864868164
1669997888.148301,1000,-16.414751052856445
1669997939.280939,1500,-15.487783432006836
1669997988.467284,2000,-13.439413070678711
1669998036.013154,2500,-15.54755973815918
1669998084.311557,3000,-16.229726791381836
1669998134.500374,3500,-13.379106521606445
1669998183.068749,4000,-12.368602752685547
1669998230.686095,4500,-15.37498664855957
1669998277.099896,5000,-19.587696075439453
1669998325.527735,5500,-12.222718238830566
1669998375.18899,6000,-12.259811401367188
1669998421.76747,6500,0.4396696090698242
1669998467.461036,7000,-15.518261909484863
1669998513.519704,7500,-6.409335136413574
1669998561.044758,8000,-15.418213844299316
1669998610.177542,8500,-15.197250366210938
1669998658.204967,9000,-11.535653114318848
1669998706.756429,9500,-13.08719539642334
1669998753.539524,10000,-16.23438262939453
1669998799.544085,10500,-15.511422157287598
1669998846.05991,11000,-13.755973815917969
1669998892.311452,11500,-11.012934684753418
1669998938.277354,12000,-13.605871200561523
1669998985.419929,12500,-16.387495040893555
1669999032.706594,13000,-13.686805725097656
1669999078.195484,13500,-15.957174301147461
1669999123.620871,14000,-12.316109657287598
1669999169.684298,14500,-18.147441864013672
1669999217.432891,15000,-0.055346012115478516
1669999265.403058,15500,-17.055622100830078
1669999312.004639,16000,-18.257707595825195
1669999360.287357,16500,-15.772661209106445
1669999405.568715,17000,-12.2291259765625
1669999450.376954,17500,-13.16805648803711
1669999495.366171,18000,-10.55026912689209
1669999540.400606,18500,-16.170019149780273
1669999584.96896,19000,-9.43116569519043
1669999629.456505,19500,-12.900402069091797
1669999674.096702,20000,-12.70530891418457
1669999719.053155,20500,-12.873638153076172
1669999770.299691,21000,-13.382983207702637
1669999821.962011,21500,-11.557223320007324
1669999871.03317,22000,-15.224298477172852
1669999920.234274,22500,-11.241857528686523
1669999968.287678,23000,-12.717369079589844
1670000015.656904,23500,-15.603838920593262
1670000061.942337,24000,-16.683006286621094
1670000107.507529,24500,-12.18905258178711
1670000152.924558,25000,-14.94919204711914
1670000198.480854,25500,-11.403804779052734
1670000243.477833,26000,-13.403743743896484
1670000289.278038,26500,-12.825875282287598
1670000337.249558,27000,-15.218666076660156
1670000383.132774,27500,-14.603971481323242
1670000431.147023,28000,-16.38446617126465
1670000476.959423,28500,-17.107254028320312
1670000521.651606,29000,-6.412158012390137
1670000566.473275,29500,-18.383548736572266
1670000613.556219,30000,-11.658388137817383
1670000658.293218,30500,-15.481688499450684
1670000704.092931,31000,-11.085756301879883
1670000752.348096,31500,-18.343273162841797
1670000798.982184,32000,-11.73593521118164
1670000845.812095,32500,-12.703563690185547
1670000894.411424,33000,-11.196296691894531
1670000941.061683,33500,-19.205379486083984
1670000987.084014,34000,-17.08286476135254
1670001034.299593,34500,-14.608506202697754
1670001080.171488,35000,-11.32815170288086
1670001126.544659,35500,-15.301788330078125
1670001172.556996,36000,-14.28078842163086
1670001218.939897,36500,-17.75982666015625
1670001266.045818,37000,-14.95846939086914
1670001314.524308,37500,-14.87149429321289
1670001361.082118,38000,-16.01909065246582
1670001406.371065,38500,-15.588926315307617
1670001451.763323,39000,-5.996512413024902
1670001498.835551,39500,-15.738433837890625
1670001547.875518,40000,-15.522200584411621
1670001595.643674,40500,-14.771393775939941
1670001643.468725,41000,-15.369534492492676
1670001691.142728,41500,3.2208690643310547
1670001738.691363,42000,-13.223902702331543
1670001786.771335,42500,-11.240330696105957
1670001833.750188,43000,-12.004363059997559
1670001881.663541,43500,-11.935870170593262
1670001929.724624,44000,-15.840394020080566
1670001976.820787,44500,-11.470664024353027
1670002024.991806,45000,-16.315509796142578
1670002072.308844,45500,-15.909510612487793
1670002120.57145,46000,-14.530299186706543
1670002168.104555,46500,-17.874126434326172
1670002216.083685,47000,-18.247760772705078
1670002264.320977,47500,-16.136062622070312
1670002311.471316,48000,-15.632781982421875
1670002359.381379,48500,-15.774922370910645
1670002406.755614,49000,-13.31570053100586
1670002454.499675,49500,2.2500061988830566
