Wall time,Step,Value
1669997792.491777,0,-15.762805938720703
1669997840.397606,500,-16.167245864868164
1669997888.148422,1000,-16.414751052856445
1669997939.281071,1500,-15.487783432006836
1669997988.467424,2000,-13.439413070678711
1669998036.01331,2500,-15.54755973815918
1669998084.311694,3000,-16.229726791381836
1669998134.500586,3500,-13.379106521606445
1669998183.06889,4000,-12.368602752685547
1669998230.686378,4500,-15.37498664855957
1669998277.100013,5000,-19.587696075439453
1669998325.527865,5500,-12.222718238830566
1669998375.189455,6000,-12.259811401367188
1669998421.767682,6500,0.4396696090698242
1669998467.461151,7000,-15.518261909484863
1669998513.519837,7500,-6.409335136413574
1669998561.044879,8000,-15.418213844299316
1669998610.17767,8500,-15.197250366210938
1669998658.205084,9000,-11.535653114318848
1669998706.756573,9500,-13.08719539642334
1669998753.539628,10000,-16.23438262939453
1669998799.544214,10500,-15.511422157287598
1669998846.060368,11000,-13.755973815917969
1669998892.311574,11500,-11.012934684753418
1669998938.277485,12000,-13.605871200561523
1669998985.420069,12500,-16.387495040893555
1669999032.706729,13000,-13.686805725097656
1669999078.195601,13500,-15.957174301147461
1669999123.621015,14000,-12.316109657287598
1669999169.684421,14500,-18.147441864013672
1669999217.433028,15000,-0.055346012115478516
1669999265.40324,15500,-17.055622100830078
1669999312.00476,16000,-18.257707595825195
1669999360.287459,16500,-15.772661209106445
1669999405.568847,17000,-12.2291259765625
1669999450.377081,17500,-13.16805648803711
1669999495.3663,18000,-10.55026912689209
1669999540.400694,18500,-16.170019149780273
1669999584.969081,19000,-9.43116569519043
1669999629.456616,19500,-12.900402069091797
1669999674.09687,20000,-12.70530891418457
1669999719.053282,20500,-12.873638153076172
1669999770.299825,21000,-13.382983207702637
1669999821.962174,21500,-11.557223320007324
1669999871.033319,22000,-15.224298477172852
1669999920.234365,22500,-11.241857528686523
1669999968.287851,23000,-12.717369079589844
1670000015.657033,23500,-15.603838920593262
1670000061.942474,24000,-16.683006286621094
1670000107.507663,24500,-12.18905258178711
1670000152.924684,25000,-14.94919204711914
1670000198.480962,25500,-11.403804779052734
1670000243.477974,26000,-13.403743743896484
1670000289.278174,26500,-12.825875282287598
1670000337.249649,27000,-15.218666076660156
1670000383.132895,27500,-14.603971481323242
1670000431.147239,28000,-16.38446617126465
1670000476.959576,28500,-17.107254028320312
1670000521.651793,29000,-6.412158012390137
1670000566.473427,29500,-18.383548736572266
1670000613.556374,30000,-11.658388137817383
1670000658.293379,30500,-15.481688499450684
1670000704.093071,31000,-11.085756301879883
1670000752.348239,31500,-18.343273162841797
1670000798.982311,32000,-11.73593521118164
1670000845.812231,32500,-12.703563690185547
1670000894.411542,33000,-11.196296691894531
1670000941.061844,33500,-19.205379486083984
1670000987.084144,34000,-17.08286476135254
1670001034.299723,34500,-14.608506202697754
1670001080.171625,35000,-11.32815170288086
1670001126.54477,35500,-15.301788330078125
1670001172.55714,36000,-14.28078842163086
1670001218.940036,36500,-17.75982666015625
1670001266.045954,37000,-14.95846939086914
1670001314.524456,37500,-14.87149429321289
1670001361.082269,38000,-16.01909065246582
1670001406.3712,38500,-15.588926315307617
1670001451.763451,39000,-5.996512413024902
1670001498.835697,39500,-15.738433837890625
1670001547.875967,40000,-15.522200584411621
1670001595.643834,40500,-14.771393775939941
1670001643.468849,41000,-15.369534492492676
1670001691.142872,41500,3.2208690643310547
1670001738.691476,42000,-13.223902702331543
1670001786.771486,42500,-11.240330696105957
1670001833.750298,43000,-12.004363059997559
1670001881.663673,43500,-11.935870170593262
1670001929.724758,44000,-15.840394020080566
1670001976.820928,44500,-11.470664024353027
1670002024.991927,45000,-16.315509796142578
1670002072.308989,45500,-15.909510612487793
1670002120.571584,46000,-14.530299186706543
1670002168.104696,46500,-17.874126434326172
1670002216.083816,47000,-18.247760772705078
1670002264.321124,47500,-16.136062622070312
1670002311.471446,48000,-15.632781982421875
1670002359.381491,48500,-15.774922370910645
1670002406.755759,49000,-13.31570053100586
1670002454.499804,49500,2.2500061988830566
