Wall time,Step,Value
1669997790.343124,0,-3.5
1669997840.395053,500,-2.5
1669997888.14595,1000,-1.899999976158142
1669997939.278629,1500,-2.799999952316284
1669997988.465026,2000,-2.700000047683716
1669998036.010806,2500,-2.5999999046325684
1669998084.309188,3000,-2.299999952316284
1669998134.495563,3500,-2.5999999046325684
1669998183.065177,4000,-2.9000000953674316
1669998230.683742,4500,-2.5999999046325684
1669998277.097135,5000,-2.4000000953674316
1669998325.525577,5500,-2.200000047683716
1669998375.186375,6000,-2.700000047683716
1669998421.765404,6500,-2.700000047683716
1669998467.458501,7000,-2.4000000953674316
1669998513.51756,7500,-2.5999999046325684
1669998561.042712,8000,-3.0
1669998610.175365,8500,-3.0999999046325684
1669998658.201909,9000,-2.299999952316284
1669998706.753998,9500,-2.4000000953674316
1669998753.537199,10000,-2.5
1669998799.541861,10500,-2.4000000953674316
1669998846.055602,11000,-2.700000047683716
1669998892.30918,11500,-2.9000000953674316
1669998938.274974,12000,-3.0
1669998985.417871,12500,-2.9000000953674316
1669999032.704088,13000,-2.700000047683716
1669999078.193328,13500,-2.799999952316284
1669999123.61833,14000,-2.799999952316284
1669999169.681184,14500,-2.799999952316284
1669999217.430542,15000,-2.5999999046325684
1669999265.400455,15500,-2.5
1669999312.002602,16000,-3.0999999046325684
1669999360.285128,16500,-2.9000000953674316
1669999405.566395,17000,-2.4000000953674316
1669999450.374674,17500,-2.799999952316284
1669999495.363961,18000,-2.200000047683716
1669999540.398431,18500,-2.5
1669999584.966851,19000,-2.799999952316284
1669999629.454475,19500,-2.4000000953674316
1669999674.094001,20000,-2.9000000953674316
1669999719.050655,20500,-2.0999999046325684
1669999770.297225,21000,-2.9000000953674316
1669999821.958269,21500,-2.4000000953674316
1669999871.031131,22000,-2.9000000953674316
1669999920.231993,22500,-2.799999952316284
1669999968.284514,23000,-2.799999952316284
1670000015.65398,23500,-2.5
1670000061.940362,24000,-2.4000000953674316
1670000107.505287,24500,-2.700000047683716
1670000152.922408,25000,-2.5999999046325684
1670000198.478626,25500,-2.299999952316284
1670000243.475466,26000,-2.700000047683716
1670000289.275648,26500,-2.5
1670000337.247038,27000,-2.9000000953674316
1670000383.129611,27500,-2.799999952316284
1670000431.144794,28000,-2.5999999046325684
1670000476.957203,28500,-2.9000000953674316
1670000521.649001,29000,-2.799999952316284
1670000566.470664,29500,-2.700000047683716
1670000613.554077,30000,-2.9000000953674316
1670000658.290573,30500,-2.799999952316284
1670000704.09024,31000,-2.700000047683716
1670000752.345776,31500,-2.4000000953674316
1670000798.976558,32000,-2.700000047683716
1670000845.809697,32500,-2.9000000953674316
1670000894.409476,33000,-2.9000000953674316
1670000941.058527,33500,-2.4000000953674316
1670000987.081726,34000,-2.5
1670001034.297502,34500,-2.5999999046325684
1670001080.169239,35000,-2.700000047683716
1670001126.542033,35500,-2.299999952316284
1670001172.554297,36000,-2.0999999046325684
1670001218.937002,36500,-2.200000047683716
1670001266.042896,37000,-2.299999952316284
1670001314.522141,37500,-2.4000000953674316
1670001361.079938,38000,-2.4000000953674316
1670001406.36868,38500,-2.4000000953674316
1670001451.761386,39000,-2.5999999046325684
1670001498.833356,39500,-2.299999952316284
1670001547.873412,40000,-2.5999999046325684
1670001595.64102,40500,-2.5999999046325684
1670001643.466024,41000,-2.5999999046325684
1670001691.140245,41500,-2.0999999046325684
1670001738.689027,42000,-2.9000000953674316
1670001786.768997,42500,-3.200000047683716
1670001833.747857,43000,-2.299999952316284
1670001881.66137,43500,-2.9000000953674316
1670001929.722553,44000,-2.700000047683716
1670001976.818651,44500,-2.700000047683716
1670002024.988811,45000,-2.799999952316284
1670002072.306589,45500,-2.4000000953674316
1670002120.5685,46000,-2.799999952316284
1670002168.102345,46500,-2.799999952316284
1670002216.081399,47000,-3.0999999046325684
1670002264.318516,47500,-2.4000000953674316
1670002311.469386,48000,-2.9000000953674316
1670002359.379141,48500,-2.200000047683716
1670002406.752965,49000,-2.5999999046325684
1670002454.497599,49500,-2.0999999046325684
